Island_Name,Acreage,Country
"Blue Island, Nova Scotia",188,Nova Scotia
"Sheep Island, British Columbia",8,British Columbia
Ilha do Magalhaes,1,Brazil
Cayo Theana,7,Belize
Third Cay,4,Bahamas
Ile Parisienne,114,Ontario
Rosewood Caye,25,Belize
Ilha de Itaoquinha,2,Brazil
Rose Island,21,Michigan
South Octopus Island,50,British Columbia
Camanga Island,75,Philippines
Long Point Island,56,North Carolina
Dolphin Jump Key,1,Florida
Saints Bay Island,6,Brazil
Ireson Island Lodge,43,Ontario
Lily Island,8,British Columbia
Julia Island,7,British Columbia
Isla Tortuga,309,Chile
Kangaroo Island,410,Australia
Hatobanari Island,2,Japan
Island of Sirens,1,Italy
Everglades Escape,80,Florida
White Cloud Island,36,Ontario
Goring Bogue Caye,6,Belize
Jewfish Key Beachfront Lot,1,Florida
Jelina Island,7,British Columbia
Prince Cay,9,Bahamas
Isla Milagrosa,12,Philippines
Lower Harbour Cay,5,Bahamas
Johnston Island,12,Maine
Hõra Island,60,Estonia
Clark Island,176,Florida
Fort Montgomery Island,94,New York
Quiet Cove Key,0,Florida
Blue Hole Cay,12,Bahamas
Coco Plum Cay,5,Honduras
Fane Island,2,British Columbia
Humphrey Island,17,Minnesota
Marakorako Island,8,French Polynesia
Hanhisaari Island,21,Finland
Shore Island,30,Ireland
Guilihan Island,3,Philippines
Bells Island,62,North Carolina
West Calf Island,62,Ireland
Brown Island,48,Michigan
Green Bay Island,15,Philippines
Arrow Head Caye,4,Belize
Soldier Caye,5,Belize
Bonefish Cay,6,Bahamas
Nanuku Levu Island,11,Fiji
Second Sister Island,3,British Columbia
Lime Cay,10,Nicaragua
Santa Lucia,100,Nicaragua
Crichton Island,100,Nova Scotia
Turquoise Caye,5,Belize
Cow and Calf Islands,60,Nova Scotia
Starlings Island,75,Virginia
Exile Island,15,Fiji
Cayo Frenchman,7,Nicaragua
Golding Cay,3,Bahamas
Big Trout Island 2,46,Michigan
Isla Leo,2,Panama
Motu Opuou,1,French Polynesia
Diamond Cay,1,Honduras
Bachelor Island,4,North Carolina
Ahe Atoll Motu,17,French Polynesia
Lizard Island,76,Ontario
Cusabo Island,47,South Carolina
West Snake Caye,9,Belize
Eagles Nest Island,20,Michigan
Deep Blue Water Caye,2,Belize
Sunset Key,5,Florida
Iguana Island,5,Nicaragua
Coquina Key,1,Florida
Eugley Island,0,Maine
Burts Island,5,British Columbia
Campbell Island,97,New York
Isla Quiros,4,Panama
Isle of Navaro,9,Panama
"4.3-Acre Island off Riversdale, Placencia",4,Belize
Opal Caye,5,Belize
Virginia Caye,4,Belize
Johnson Island Alderson,36,West Virginia
Connington Island,6,Nova Scotia
Farolan Island,0,Philippines
Motu Tohepuku,19,French Polynesia
Maple Island,38,Nova Scotia
McKelvey Island,11,British Columbia
Hat Caye,1,Belize
Greer Island,5,Maine
Indian Islands,45,Nova Scotia
2630,2,Belize
2-Acre Private Island Near Placencia,2,Belize
Bodden Caye,2,Belize
"Bird Island, SC",1,South Carolina
The Enclave at Placencia Caye,2,Belize
Wild Cane Key,3,Panama
"Bocal Island, Nicaragua",3,Nicaragua
Sunset Island,0,Belize
Tahifehifa Island,1,Tonga
Standerson Island,27,Michigan
Deadman Caye 1.4 acres,1,Belize
Gullah Island,3,South Carolina
Little Gaulding Cay,2,Bahamas
Richards Island,30,Nova Scotia
Motu Matatahi,2,French Polynesia
Lizzies Cove Island,7,British Columbia
Middle Island,38,Nova Scotia
Frigate Caye,1,Belize
No Mans Island,19,New Jersey
Deadman Caye .699acres,1,Belize
Angus Island,15,Nova Scotia
Bear Island,7,Nova Scotia
Wee Wee Caye,2,Belize
"1-Acre Private Island near Riversdale, Placencia",1,Belize
Stewards Island,54,Pennsylvania 
Mannions Island,4,Ireland
Calf Island,26,Nova Scotia
Orchid Islands,1,Belize
Long Island,92,Nova Scotia
Deadman Caye .941 acres,1,Belize
Leader Island,11,Nova Scotia
Hangover Island,40,Florida
Bone Fish Caye,0,Belize
Gautier Island,3,Mississippi
Spanish Lookout Caye,186,Belize
Tavern Island,4,Connecticut
Elizabeth Island,65,Australia
42-Acre Private Island West of Placencia Village,42,Belize
Mauger Caye,7,Belize
Crawl Caye (Belize City),48,Belize
Lenur Island,84,Vanuatu
Crawl Caye (Placencia),55,Belize
Tovu Island,180,Fiji
Reef Islands,237,Vanuatu
Thatch Cay,230,US Virgin Islands
Private Island Exuma,46,Bahamas
Pebble Island,26247,Falkland Islands
Long Caye Private Island,40,Belize
2620,1350,Greece
Sear Island,28,British Columbia
Jupiter Island,642,Ecuador
Sindiro Island,220,Uganda
The Balam Escape,9500,Belize
Pair of Fiji Islands,25,Fiji
Gibraleon Island,227,Panama
Ilha de Pioca,215,Brazil
Jewel Caye,2,Belize
Laguna Azul,2,Panama
Wadigi Island,0,Fiji
Funk Caye,3,Belize
2.6-Acre Island in Blue Ground Range,3,Belize
